task,html,github,path,script
Image rating,"<h2>Image rating</h2><br><h2>1. Set-Up</h2><p>Participants see pictures of a series of products and accompanying slogans for them. They then have the opportunity to rate the product and slogan on a scale from 1 (worst) to 10 (best). Participants see these pictures one at a time.</p><br><h2>2. Objective / Goal</h2><p>The goal is to give a rating that is as close as possible to how other Americans viewed the product and slogan. The challenge is to be exact in predicting how other Americans think. </p><p>Participants receive points based on how close their ratings are to the &ldquo;truth.&rdquo; The &ldquo;truth&rdquo; is calculated based on the average poll response of 100 American users on Amazon Mechanical Turk. Participants are NOT told whether their guesses are correct or how many points they earned.</p><p>Finally, participants have to make their decisions within a limited amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/81647e66eb5682dece8b3d39f5c8756372d951e5,tasks/summaries/Image rating-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Recall videos,<h2>Recall videos</h2><br><h2>1. Set-Up</h2><p>Participants are shown a 90-second video several times.</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly answer a set of questions about what occurred in the video within a fixed amount of time. Participants receive points for each correct answer and maximize their score by correctly answering as many questions as they can.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/60d448472fd3b6772287c8245757b5f166cae6f4,tasks/summaries/Recall videos-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Wildcat Wells,"<h2>Wildcat Wells</h2><br><h2>1. Set-Up</h2><p>Participants see a realistic-looking 2D desert map with dots on it that represent hidden oil fields. All dots look the same to participants, but some &ldquo;wells&rdquo; are wider and deeper than others and contain more oil, which earns the participant more points. As they play, participants can see the total number of points that they have accumulated throughout the game.</p><br><h2>2. Objective / Goal</h2><p>The goal is to drill as much oil as possible within a fixed amount of time by choosing the dots corresponding to &ldquo;wells&rdquo; that the participant wants to select. Participants earn points proportional to the amount of oil they discover. Thus, the goal is to try to find the &ldquo;wells&rdquo; with the most oil before the time runs out.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/032b38726446129214960a511b03c67285f04b33,tasks/summaries/Wildcat Wells-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Word completion given part of word,"<h2>Word completion given part of word</h2><br><h2>1. Set-Up</h2><p>Participants get a set of 36 words with 2-3 letters missing. Each word has a specific correct answer. For example, &ldquo; _ ech_ _ que&rdquo; would be &ldquo;technique&rdquo;.</p><br><h2>2. Objective / Goal</h2><p>The goal is to complete as many words as possible within a fixed amount of time. Participants get the maximum score for completing all words correctly and maximize their score by completing as many of the words as they can.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3b402305ea14b1e5ff863223523703eb58b38075,tasks/summaries/Word completion given part of word-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Letters-to-numbers problems (cryptography),"<h2>Letters-to-numbers problems (cryptography)</h2><br><h2>1. Set-Up</h2><p>Participants are given instructions to map letters A, B, C, D, E, F, G, H, I, and J, which have been initially randomly assigned without replacement, to one of the 10 digits (0 through 9). For example, because letter &ldquo;A&rdquo; maps onto digit &ldquo;3&rdquo; and letter &ldquo;B&rdquo; maps onto digit &ldquo;5&rdquo;, an operation &ldquo;A + B&rdquo; would correspond to &ldquo;3 + 5&rdquo;. If letter &ldquo;C&rdquo; would map onto digit &ldquo;8&rdquo;, then A + B = C.</p><br><h2>2. Objective / Goal</h2><p>The goal is to identify the mapping of the 10 letters to the 10 numbers in as few trials as possible within a fixed amount of time and limited number of trials. Participants must also get the correct answer as quickly as possible.</p><p>There is a specific process participants have to follow to map letters onto numbers. Participants are first asked to come up with addition or subtraction operation (e.g., &ldquo;A + B&rdquo;) and then given an answer in the letter form (e.g., &ldquo;A + B = C&rdquo;). Then participants propose a mapping for a letter (e.g., &ldquo;A = 3&rdquo;) and receive feedback (e.g., &ldquo;True, A = 3&rdquo;). Participants have to follow this process in proposing the mapping of all letters to all digits. To submit their final answer, participants have to indicate which digits each of the letters correspond to.</p><p>Participants are evaluated based on several criteria, such as the number of trials they used, letters identified per trial, and letters used per equation. There is a theoretical maximum score, and participants get the highest score by finding the correct mapping as fast as they can, with as few trials as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c56a651edbab57b147e65b73ad036ea92cc81fb9,tasks/summaries/Letters-to-numbers problems (cryptography)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Guessing the correlation,"<h2>Guessing the correlation</h2><br><h2>1. Set-Up</h2><p>Participants receive a series of scatter plots which are a series of points plotted on a grid. In any round, all participants see plots with an identical correlation.</p><br><h2>2. Objective / Goal</h2><p>The goal is to estimate the correlation of the points on the grid. (For example, if all the dots are in a straight line pointing upwards, the correlation is 1; if the dots are completely scattered randomly with no pattern at all, the correlation is 0). There is a time limit to make an estimation.</p><p>Participants are evaluated on the accuracy of their judgment. They receive the highest score by guessing the exact correlation but they have to try to get as many points as possible by being as precise as they can. After participants sumbit their guess, they can see the true correlation and see whether they are right or wrong as well as how close their guess is to the true correlation.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/dd22d23dec2aee1c467f42d4d08ac8d544e9e10b,tasks/summaries/Guessing the correlation-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Abstract grid task,"<h2>Abstract grid task</h2><br><h2>1. Set-Up</h2><p>Participants are given a shared grid, in which some squares in the grid are colored in, and other squares in the grid are not colored in. The grid is interactive, and offers the opportunity to change the squares&#39; colors by either &ldquo;adding&rdquo; color where a square is not filled in, or &ldquo;substracting&rdquo; color where a square is already filled in (removing the color from the square).</p><p>Clicking a particular square on the grid &ldquo;toggles&rdquo; the color &mdash; shifting it from colored to non-colored, or vice versa.</p><br><h2>2. Objective / Goal</h2><p>The goal is to make the grid appear exactly symmetrical from left-to-right and top-to-bottom using the fewest number of clicks. (Each click represents one manipulation &mdash; either adding or subtracting color from the grid.)</p><p>Each problem has a known &ldquo;lowest&rdquo; number of clicks, which represents the best possible answer. However, participants are not given any feedback about whether their answer was the best. Finally, participants must complete the task within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,tasks/summaries/Abstract grid task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Advertisement writing,"<h2>Advertisement writing</h2><br><h2>1. Set-Up</h2><p>Participants were given the description of a product from Kickstarter. For example, they could read about &ldquo;Soapstone: the Sustainable Travel Soap Dispenser,&rdquo; and learn about its features.</p><br><h2>2. Objective / Goal</h2><p>The goal was to write an online text advertisement of no more than 30 characters for the Kickstarter product. The advertisement had to be creative, informative, and get people to click. When working in teams, participants needed to submit a single collective writeup, produced within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,tasks/summaries/Advertisement writing-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Whac-A-Mole,"<h2>Whac-A-Mole</h2><br><h2>1. Set-Up</h2><p>Participants see a shared screen with a bunch of colored moving targets (circles) and an ability to click or &ldquo;hit&rdquo; the targets as they moved around. Each participant can control their own individual mouse, but everyone sees the same moving targets.</p><br><h2>2. Objective / Goal</h2><p>The targets are worth different numbers of points based on their color. Participants&#39; goal was to hit (e.g., click on) targets based on their point value, thereby maximizing their points. They have a limited amount of time to get as many points as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8b56ba8b5591973c83fc68741db3fe273568c739,tasks/summaries/Whac-A-Mole-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Putting food into categories,"<h2>Putting food into categories</h2><br><h2>1. Set-Up</h2><p>Participants were provided with a shared list containing several (e.g., a dozen) fruit and vegetable items (e.g., orange, grapes).</p><br><h2>2. Objective / Goal</h2><p>The goal was to generate different the maximum number of categories that could be used to divide the food items. Within a limited amount of time, they had to come up with as many criteria as they could to classify the items into subgroups (e.g., citrus vs non-citrus, tropical vs non-tropical, seeds versus no seeds). This required participants to be creative in order to come up with the most ideas for how to divide the food items.</p><p>Participants received credit for the total number of non-redundant ideas that they came up with.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/871175e24910d4800931dd2e8bfbe14475b86343,tasks/summaries/Putting food into categories-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Room assignment task,"<h2>Room assignment task</h2><br><h2>1. Set-Up</h2><p>Participants are given a set of people (students), rooms, and rules (constraining conditions).</p><br><h2>2. Objective / Goal</h2><p>The goal is to assign students to rooms within a fixed amount of time in order to maximize the students&#39; utility as much as possible while also respecting all of the constraining conditions (for example, one rule might say that certain people are not allowed to be in the same room). Students get a specified amount of utility from being assigned to a particular room, which translates to points in the game.</p><p>Participants will be shown the running total of how many points their current submission has earned, but they will not be notified if they have achieved the optimal arrangement. If participants&#39; submission violates some of the contraining conditions, they will receive a score penalty.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3e61278b26c027d84e87f85b3e8305d33c47ed1c,tasks/summaries/Room assignment task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Divergent Association Task,"<h2>Divergent Association Task</h2><br><h2>1. Set-Up</h2><p>Participants are given a task sheet with instructions, a blank space to write 10 words in, and a list of rules.</p><br><h2>2. Objective / Goal</h2><p>The goal is to come up with 10 nouns as different from each other as possible within a fixed amount of time. For example, words &ldquo;cat&rdquo; and &ldquo;dog&rdquo; are considered similar to each other because they are often used in the same context, while words &ldquo;cat&rdquo; and &ldquo;thimble&rdquo; are different because they are rarely used together.</p><p>Participants are evaluated on how semantically different the words are. The minimum score occurs when all the words are the same, while the theoretical maximum score occurs when words have the least possible relation to each other. Participants maximize their score by coming up with as many the most semantically distant words as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/4a4bc97f42877152244f7903cd726027494ccfb5,tasks/summaries/Divergent Association Task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Recall association,"<h2>Recall association</h2><br><h2>1. Set-Up</h2><p>Participants are given a list of several words to study. Example words on the list include &ldquo;spider,&rdquo; &ldquo;foot,&rdquo; &ldquo;pen,&rdquo; &ldquo;car,&rdquo; etc.</p><br><h2>2. Objective / Goal</h2><p>The goal is to recall as many words as possible from the studied list within a fixed amount of time. </p><p>Participants receive the maximum score for recalling all words correctly and the minimum for recalling none. Participants maximize their score by recalling as many words as they can.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6cdc2247016405e6372b044ca8b9dcd9d91ed13f,tasks/summaries/Recall association-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Search for Oil Task,"<h2>Search for Oil Task</h2><br><h2>1. Set-Up</h2><p>Pariticipants view a shared 12x12 grid of points, creating a digital &ldquo;map&rdquo;. Each point represents a section of &ldquo;land&rdquo; in a theoretical oil field. A limited number of these points have been pre-determined by the makers of the game to contain &ldquo;oil,&rdquo; while others contain nothing. </p><p>Participants are also given some information about which points might be more likely (but not certain!) to contain the oil. For example, they are told that some parts of this grid represent land with the appropriate chemical composition, making it more probable that there will be oil there. (Other pieces of information that make oil more or less likely include information about the surface hardness, surface mantle thickness, and geological stratification of the area.)</p><p>After being shown the detailed information for a limited amount of time, participants have to remember as much information as they can and then decide where they want to &ldquo;drill&rdquo; completely from memory. During the main gameplay, participants see just the 12x12 map, where they are able to click on each point if they want to drill there.</p><p>As participants select which locations they want to drill, they are given feedback after each decision. For example, after participants pick a point on the 12x12 grid to drill oil, they will be told whether they were right or wrong about oil being there, and they will see the running total of their score.</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to decide which of the 144 sections of land is suitable for drilling oil, and to do so as accurately as possible before the game&#39;s time limit runs out. In other words, participants have to remember and account for all the information they were provided about where oil is most likely to be found, and then decide where they want to &ldquo;drill&rdquo; (by clicking on the point on the map).</p><p>Participants aim to get the highest possible score, and they earn points for every location with oil that they successfully find. They lose points if they select locations that do not have oil. Therefore, one would get the maximum score of this game by correctly finding every point with oil without making any mistakes.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6d3cc0d689bfc7f7ae069f983a92debe79c5a8fc,tasks/summaries/Search for Oil Task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
"Wolf, goat and cabbage transfer","<h2>Wolf, goat and cabbage transfer</h2><br><h2>1. Set-Up</h2><p>Participants are given a problem that reads as follows:</p><p>&ldquo;Once upon a time a farmer went to a market and purchased a wolf, a goat, and a cabbage. On his way home, the farmer came to the bank of a river and rented a boat. But crossing the river by boat, the farmer could carry only himself and a single one of his purchases: the wolf, the goat, or the cabbage.</p><p>If left unattended together, the wolf would eat the goat, or the goat would eat the cabbage.</p><p>The farmer&#39;s challenge was to carry himself and his purchases to the far bank of the river, leaving each purchase intact. How did he do it?&rdquo;</p><br><h2>2. Objective / Goal</h2><p>The goal is to achieve the fewest number of trips that get the wolf, goat, and cabbage from one river bank to another, and to solve this problem within the time limit.</p><p>There are a few different possible solutions that get to the lowest number. All of the solutions require the participants take the goat over first, because any other action will lead to something being eaten. Once the farmer comes back, though, there is a dilemma, because if he takes the wolf over, the wolf would eat the goat on the other side; if he takes the cabbage over, the goat would eat the cabbage on the other side.</p><p>The &ldquo;trick&rdquo; to this problem is to realize that the farmer can actually take the goat BACK on his return trip: that is, he takes either the wolf or cabbage with him on the second trip. Then, he takes the goat BACK to the ORIGINAL side. He then picks up the remaining one of the cabbage or wolf, and finally, he goes back with the goat. Realizing that you can actually bring things back and forth (in both directions), rather than just in one direction across the river, usually requires some out-of-the-box thinking.</p><p>Therefore, participants must satisfy the constraints of the problem while also thinking creatively. As a final piece of helpful context, this task is actually a well-known one that many people have built algorithms to solve.</p><p>To summarize, the solution to this task is:</p><ol><li>Take the goat to the other side</li><li>Return to original side (where the wolf and cabbage are)</li><li>Take either the wolf or cabbage to the other side</li><li>Return to the original side with the goat [THIS IS THE TRICK! Realizing this prevents either the wolf eating the goat or the goat eating the cabbage.]</li><li>Take the cabbage or wolf over to the other side</li><li>Return to the original side, where only the goat remains.</li><li>Take the goat over</li></ol>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b9d60e8325c43f3284c5844b42d8fce986f71934,"tasks/summaries/Wolf, goat and cabbage transfer-writeup.md",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Husbands and wives transfer,"<h2>Husbands and wives transfer</h2><br><h2>1. Set-Up</h2><p>Participants are given a problem that reads as follows:</p><p>&ldquo;On the A-side of the river are wives (W1, W2, W3) and their husbands (H1, H2, H3). All of the men but none of the women can row. Get them across to the B-side of the river by means of a boat carrying only three at one time. No man will allow his wife to be in the presence of another man unless he is also there.&rdquo;</p><br><h2>2. Objective / Goal</h2><p>The goal is to achieve the fewest number of trips that get all six people to the B-side, and to solve this problem within the time limit.</p><p>There are several possible &ldquo;shortest&rdquo; solutions to this problem. In general, participants must realize that solving the problem requires people to row back and forth &mdash; that is, some of the people who go from the A-side to the B-side have to go BACK to the A-side &mdash; and then figure out the right combinations that meet the requirements (W1 cannot be in the presence of H2 or H3 unless H1 is also there, and so on).</p><p>Therefore, participants must satisfy the constraints of the problem while also thinking creatively. As a final piece of helpful context, this task is actually a well-known one that many people have built algorithms to solve.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1c98f62f162c321565a1f3bcdff706ce38e2d134,tasks/summaries/Husbands and wives transfer-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
Recall images,"<h2>Recall images</h2><br><h2>1. Set-Up</h2><p>Participants receive a certain number of images to memorize on individual screens.</p><br><h2>2. Objective / Goal</h2><p>The goal is to memorize all target images within a fixed amount of time and to be able to identify them later from a lineup of old and new images.</p><p>For example, participants can be given 20 seconds to memorize six target faces and then asked to identify those target faces at a later time. At the later time period, they could be consecutively shown 15 sets of three faces (6 previously seen, and 39 new), and asked to pick out which faces were the images that they had previously seen before.</p><p>Participants are evaluated on the number of correctly recalled images. They earn the maximum score when they recall all images correctly (e.g., select the 6 original faces out of 45). This means they need to correctly identify all the images that they had seen before, and avoid mis-identifying a new image as something they had previously seen.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/eca5a325d6c0b2ad89042bd37775530b822d9710,tasks/summaries/Recall images-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e6f0483e3755c51519cd0528c68f77deb41a1543
